state,value
Alaska,23599
Alabama,674848
Arkansas,446642
Arizona,1830389
California,2746360
Colorado,1626989
Connecticut,439581
Washington DC,100643
Delaware,58300
Florida,5776390
Georgia,2683488
Hawaii,45246
Iowa,445527
Idaho,126190
Illinois,2316703
Indiana,948997
Kansas,458557
Kentucky,812665
Louisiana,970325
Massachusetts,655069
Maryland,1213895
Maine,59231
Michigan,979238
Minnesota,2661298
Missouri,1985944
Mississippi,414835
Montana,47796
North Carolina,2070487
North Dakota,70250
Nebraska,595737
New Hampshire,121688
New Jersey,1255004
New Mexico,273831
Nevada,307027
New York,1902979
Ohio,3524801
Oklahoma,517842
Oregon,334853
Pennsylvania,804059
Puerto Rico,10614
Rhode Island,568101
South Carolina,498868
South Dakota,53971
Tennessee,1115629
Texas,6071374
Utah,726681
Virginia,1156865
Vermont,15557
Washington,637886
Wisconsin,1590400
West Virginia,105545
Wyoming,55338